Model,SplittingMethod,Hashing,Canonical,Shrinkage,Ordering,recentHist,FK_calls,Successful_Hashtable_Fetch,Backtracking_Counts,Backtracking_Length,Seen_Nodes
BIOMD0000000034,weightedVars,1,0,0,1,1,666,1,23,54,249
BIOMD0000000034,weightedVars,1,0,0,1,0,666,1,23,54,249
BIOMD0000000034,weightedVars,1,0,0,0,0,666,1,23,54,249
BIOMD0000000034,weightedVars,0,0,1,1,1,1006,0,14,47,250
BIOMD0000000034,weightedVars,0,0,1,1,0,1006,0,14,47,250
BIOMD0000000034,weightedVars,0,0,1,0,0,1006,0,14,47,250
BIOMD0000000034,weightedVars,0,0,0,1,1,732,0,24,57,253
BIOMD0000000034,weightedVars,0,0,0,1,0,732,0,24,57,253
BIOMD0000000034,weightedVars,0,0,0,0,0,732,0,24,57,253
BIOMD0000000042,mostFreq,1,1,1,1,1,253,46,8,12,126
BIOMD0000000042,mostFreq,1,1,1,1,0,253,46,8,12,126
BIOMD0000000042,mostFreq,1,1,1,0,0,253,46,8,12,126
BIOMD0000000042,mostFreq,1,1,0,1,1,429,41,16,66,192
BIOMD0000000042,mostFreq,1,1,0,1,0,429,41,16,66,192
BIOMD0000000042,mostFreq,1,1,0,0,0,429,41,16,66,192
BIOMD0000000042,mostFreq,1,0,1,1,1,253,46,8,12,126
BIOMD0000000042,mostFreq,1,0,1,1,0,253,46,8,12,126
BIOMD0000000042,mostFreq,1,0,1,0,0,253,46,8,12,126
BIOMD0000000042,mostFreq,1,0,0,1,1,429,41,16,66,192
BIOMD0000000042,mostFreq,1,0,0,1,0,429,41,16,66,192
BIOMD0000000042,mostFreq,1,0,0,0,0,429,41,16,66,192
BIOMD0000000042,mostFreq,0,0,1,1,1,1338,0,150,312,438
BIOMD0000000042,mostFreq,0,0,1,1,0,1338,0,150,312,438
BIOMD0000000042,mostFreq,0,0,1,0,0,1338,0,150,312,438
BIOMD0000000042,mostFreq,0,0,0,1,1,3435,0,260,1150,1295
BIOMD0000000042,mostFreq,0,0,0,1,0,3435,0,260,1150,1295
BIOMD0000000042,mostFreq,0,0,0,0,0,3435,0,260,1150,1295
BIOMD0000000042,weightedVars,1,1,1,1,1,807,10,43,119,302
BIOMD0000000042,weightedVars,1,1,1,1,0,807,10,43,119,302
BIOMD0000000042,weightedVars,1,1,1,0,0,807,10,43,119,302
BIOMD0000000042,weightedVars,1,1,0,1,1,1392,21,135,327,504
BIOMD0000000042,weightedVars,1,1,0,1,0,1392,21,135,327,504
BIOMD0000000042,weightedVars,1,1,0,0,0,1392,21,135,327,504
BIOMD0000000042,weightedVars,1,0,1,1,1,807,10,43,119,302
BIOMD0000000042,weightedVars,1,0,1,1,0,807,10,43,119,302
BIOMD0000000042,weightedVars,1,0,1,0,0,807,10,43,119,302
BIOMD0000000042,weightedVars,1,0,0,1,1,1392,21,135,327,504
BIOMD0000000042,weightedVars,1,0,0,1,0,1392,21,135,327,504
BIOMD0000000042,weightedVars,1,0,0,0,0,1392,21,135,327,504
BIOMD0000000042,weightedVars,0,0,1,1,1,1055,0,68,172,389
BIOMD0000000042,weightedVars,0,0,1,1,0,1055,0,68,172,389
BIOMD0000000042,weightedVars,0,0,1,0,0,1055,0,68,172,389
BIOMD0000000042,weightedVars,0,0,0,1,1,1135,0,95,291,490
BIOMD0000000042,weightedVars,0,0,0,1,0,1135,0,95,291,490
BIOMD0000000042,weightedVars,0,0,0,0,0,1135,0,95,291,490
BIOMD0000000048,mostFreq,1,1,1,1,1,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,1,1,1,0,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,1,1,0,0,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,1,0,1,1,2533,445,120,335,1630
